FIPS,state,county name,income,unemployment_rate,less_HS,at_HS,some_college,BS_and_above,All Gender All Race,Male All Race,Female All Race,All Gender White,Male White,Female White,All Gender Black,Male Black,All Gender Hispanic,Male Hispanic,All Gender Asian and Pacific Islander,All Gender American Indian and Alaskan Native,Male American Indian and Alaskan Native,Female American Indian and Alaskan Native,Female Black,Female Hispanic,Male Asian and Pacific Islander,Female Asian and Pacific Islander
53051,WA,Pend Oreille County,49900,9.7,10.15732235,33.53394573,39.18276845,17.12596347,270.9,343.1,211.8,272.9,348.7,211.8,232.5,null,235.2,null,175.2,339.9,398.6,null,null,null,175.3,175.3
53053,WA,Pierce County,70200,6.8,9.557758695,29.17004029,37.62868655,23.64351447,302.3,399.7,226,310.3,405.7,232.9,392,516.3,183.7,223.1,152.1,466.3,380.8,460.2,266.1,155.3,114.3,114.3
53055,WA,San Juan County,64900,4.9,5.525960086,17.66717023,32.04261748,44.76425221,232.9,328.3,178.2,234,332.3,179.7,null,null,129.9,null,144.4,235.2,null,null,null,null,null,null
53057,WA,Skagit County,67800,7,11.72240698,25.14902428,39.52814206,23.60042668,255.2,340.4,195.8,262.7,350.4,202.6,254.9,389.8,150.1,173.6,126.3,264.3,410.8,234.8,null,105.5,102.9,102.9
53059,WA,Skamania County,68300,8,9.532328137,31.40812676,36.6087401,22.45080501,254,348.4,208.2,264.2,360,216.1,284.9,360.4,146,202.4,144.7,284.1,395.9,301.7,220.3,115.8,103.1,103.1
53061,WA,Snohomish County,86700,5,8.944526983,24.71217226,37.56554856,28.7777522,259.8,338.2,192.7,273.4,359,197.8,271.9,370.1,128.2,140.5,138.5,348.4,428.4,297.3,197.4,116.9,110.8,110.8
53063,WA,Spokane County,62900,6.8,7.183489364,25.31630782,38.84542372,28.6547791,267.2,340.5,208.6,267.9,343.5,208.7,206.5,247.3,254.2,276.6,154.8,361,377.6,275,null,221.8,152.5,152.5
53065,WA,Stevens County,54800,9.1,9.231527094,31.70771757,40.19047619,18.87027915,288.1,384.4,208.4,285.3,373.7,208,228.3,null,239.8,null,174.1,375.7,594.3,291.1,null,null,171.1,171.1
53067,WA,Thurston County,77300,6.3,7.073176424,23.20384611,37.76736642,31.95561105,275.5,370.3,212.4,282.9,379.3,218,320,426.2,187.4,302.6,175.2,265.8,365.6,232.1,257.5,97.7,121.8,121.8
53069,WA,Wahkiakum County,50200,9.4,6.702057067,34.50564035,42.10351692,16.68878567,314.9,415.2,244.4,323.4,426.7,250,null,null,null,null,null,null,null,null,null,null,null,null
53071,WA,Walla Walla County,59300,6,12.37541309,22.31328486,39.58228685,25.7290152,267.7,342.7,206.8,283,361.9,219,null,null,117.1,173.2,189.3,295.1,null,null,null,68.6,null,null
53073,WA,Whatcom County,69800,6.4,8.871246647,22.83637034,36.35113014,31.94125287,261.2,335.9,197.4,266.5,338.5,201.8,null,null,120.5,180,139.4,321.3,405.4,271.7,null,109.8,71.5,71.5
53075,WA,Whitman County,65500,5.1,3.823161407,19.45409889,27.90212707,48.82061263,291.1,349.1,227.2,289.7,350.1,226.7,223,281.5,155.3,219.3,183.2,387.8,424.8,318.8,null,118.5,181.6,181.6
53077,WA,Yakima County,49600,8.4,28.943787,26.57423335,28.63153095,15.8504487,335.3,412.8,262.9,354,436.8,272.5,390.1,521.5,202,247.4,159.4,681.8,799.6,551.2,268.5,154.9,111,111
54001,WV,Barbour County,41900,6.6,22.68379097,47.31620903,18.28166519,11.71833481,393,445.6,344.6,393,448.4,342.6,null,null,null,null,null,null,null,null,null,null,null,null
54003,WV,Berkeley County,64000,5.4,14.3048624,38.10352203,28.19905889,19.39255668,377.3,451,308.5,379.9,448.3,315.5,462.3,708,null,null,null,null,null,null,288.9,null,null,null
54005,WV,Boone County,51000,9.1,25.66217472,44.31923792,21.48001859,8.538568773,433.2,494.5,357.5,440.9,503.3,362.8,372.8,552.4,null,null,null,null,null,null,268.8,null,null,null
54007,WV,Braxton County,43000,9.3,24.04271695,47.03675197,18.42409082,10.49644025,349.4,410,304.8,353.7,416.1,309.3,null,null,null,null,null,null,null,null,null,null,null,null
54009,WV,Brooke County,50300,7.1,10.79746762,44.65934832,27.54835337,16.99483069,401.3,531.5,304.3,401.4,534,301.2,534.8,676.7,null,null,null,null,null,null,434.8,null,null,null
54011,WV,Cabell County,50800,5.4,13.16201049,33.86488393,27.81594038,25.1571652,336,430.6,267.9,337.8,436,268.5,435.5,468.9,null,null,null,null,null,null,389,null,null,null
54013,WV,Calhoun County,37100,9.6,25.99488865,49.37933552,16.04600219,8.57977364,334.8,402.3,274.8,340.5,410.4,278.7,null,null,null,null,null,null,null,null,null,null,null,null
